target_name	antigen_url	sku	species	expression_host	tags	gene_symbol	protein_name
Her2/ERBB2	https://www.sinobiological.com/search?keywords=10004-H27H-B	10004-H27H-B	Human		C-AVI & His		Her2/ERBB2 (Biotinylated, HPLC-verified)
ICAM-1/CD54	https://www.sinobiological.com/search?keywords=10346-H49H-B	10346-H49H-B	Human		C-His-AVI		ICAM-1/CD54 (Biotinylated, HPLC-verified)
ICOS	https://www.sinobiological.com/search?keywords=50466-M41H-B	50466-M41H-B	Mouse		C-hFc & AVI		ICOS (Biotinylated)
IGF-II	https://www.sinobiological.com/search?keywords=13032-H41H-B	13032-H41H-B	Human		C-hFc & AVI		IGF-II (Avi-tag Biotinylated, HPLC-verified)
IGF1	https://www.sinobiological.com/search?keywords=10598-H80H-B	10598-H80H-B	Human		N-Avi-Fc		IGF1 (Avi-tag Biotinylated, HPLC-verified)
IGF1R	https://www.sinobiological.com/search?keywords=10164-H49H1-B	10164-H49H1-B	Human		C-His-AVI		IGF1R (Biotinylated, HPLC-verified)
IGFBP7	https://www.sinobiological.com/search?keywords=13100-H41H-B	13100-H41H-B	Human		C-hFc & AVI		IGFBP7 (Biotinylated, HPLC-verified)
IL-1 beta	https://www.sinobiological.com/search?keywords=91050-C49H-B	91050-C49H-B	Cynomolgus		C-His-AVI		IL-1 beta (Avi-tag Biotinylated)
IL-12	https://www.sinobiological.com/search?keywords=CT011-H08H-B	CT011-H08H-B	Human		C-His		IL-12 (Amine-Labeled Biotinylated)
IL-13	https://www.sinobiological.com/search?keywords=10369-H49H-B	10369-H49H-B	Human		C-His-AVI		IL-13 (Avi-tag Biotinylated, HPLC-verified)
IL-13 R alpha 1/IL13RA1	https://www.sinobiological.com/search?keywords=10943-H49H-B	10943-H49H-B	Human		C-His-AVI		IL-13 R alpha 1/IL13RA1 (Biotinylated, HPLC-verified)
IL-13 R alpha 2/IL13RA2	https://www.sinobiological.com/search?keywords=10350-H08H-B	10350-H08H-B	Human		C-His		IL-13 R alpha 2/IL13RA2 (Amine-Labeled Biotinylated)
IL-15 R alpha/IL15RA	https://www.sinobiological.com/search?keywords=29736-H41H-B	29736-H41H-B	Human		C-hFc & AVI		IL-15 R alpha/IL15RA (Biotinylated, HPLC-verified)
IL-17A	https://www.sinobiological.com/search?keywords=12047-HNAE-B	12047-HNAE-B	Human		No tag		IL-17A (Amine-Labeled Biotinylated)
IL-17F	https://www.sinobiological.com/search?keywords=11855-H07H-B	11855-H07H-B	Human		N-His		IL-17F (Amine-Labeled Biotinylated)
IL-17RA	https://www.sinobiological.com/search?keywords=10895-H49H-B	10895-H49H-B	Human		C-His-AVI		IL-17RA (Biotinylated)
IL-18R beta / IL-18RAP	https://www.sinobiological.com/search?keywords=10176-H41H-B	10176-H41H-B	Human		C-hFc & AVI		IL-18R beta / IL-18RAP (Biotinylated, HPLC-verified)
IL-18Rα	https://www.sinobiological.com/search?keywords=11102-H08H-B	11102-H08H-B	Human		C-His		IL-18Rα (Amine-Labeled Biotinylated, HPLC-verified)
IL-20	https://www.sinobiological.com/search?keywords=13060-HNAE-B	13060-HNAE-B	Human		No tag		IL-20 (Biotinylated)
IL-21 Receptor/IL-21R	https://www.sinobiological.com/search?keywords=11483-H49H-B	11483-H49H-B	Human		C-His-AVI		IL-21 Receptor/IL-21R (Biotinylated, HPLC-verified)
IL-23	https://www.sinobiological.com/search?keywords=CT048-H08H-B	CT048-H08H-B	Human		C-His		IL-23 (Amine-Labeled Biotinylated)
IL-23 Receptor	https://www.sinobiological.com/search?keywords=13840-H41H-B	13840-H41H-B	Human		C-hFc & AVI		IL-23 Receptor (Avi-tag Biotinylated, HPLC-verified)
IL-2R beta/CD122	https://www.sinobiological.com/search?keywords=10696-H27H-B	10696-H27H-B	Human		C-AVI & His		IL-2R beta/CD122 (Biotinylated, HPLC-verified)
IL-2R gamma/CD132	https://www.sinobiological.com/search?keywords=10555-H49H-B	10555-H49H-B	Human		C-His-AVI		IL-2R gamma/CD132 (Biotinylated)
IL-2Rβ & IL-2Rγ Heterodimer	https://www.sinobiological.com/search?keywords=CT108-H2549H1-B	CT108-H2549H1-B	Human				IL-2Rβ & IL-2Rγ Heterodimer (Avi-tag Biotinylated, HPLC-verified)
IL-31RA	https://www.sinobiological.com/search?keywords=15878-H49H-B	15878-H49H-B	Human		C-His-AVI		IL-31RA (Avi-tag Biotinylated, HPLC-verified)
IL-3R alpha/CD123	https://www.sinobiological.com/search?keywords=10518-H41H-B	10518-H41H-B	Human		C-hFc & AVI		IL-3R alpha/CD123 (Biotinylated, HPLC-verified)
IL-4	https://www.sinobiological.com/search?keywords=11846-HNAE-B	11846-HNAE-B	Human		No tag		IL-4 (Amine-Labeled Biotinylated)
IL-4R	https://www.sinobiological.com/search?keywords=10402-H08H-B	10402-H08H-B	Human		C-His		IL-4R (Amine-Labeled Biotinylated)
IL-5	https://www.sinobiological.com/search?keywords=15673-H49H-B	15673-H49H-B	Human		C-His-AVI		IL-5 (Avi-tag Biotinylated, MALS-verified)
