target_name	antigen_url	sku	species	expression_host	tags	gene_symbol	protein_name
S100A4	https://www.sinobiological.com/search?keywords=10185-H08E-B	10185-H08E-B	Human		C-His		S100A4 (Biotinylated)
S100B	https://www.sinobiological.com/search?keywords=10181-H07E-B	10181-H07E-B	Human		N-His		S100B (Biotinylated, HPLC-verified)
S100P	https://www.sinobiological.com/search?keywords=12635-HNAE-B	12635-HNAE-B	Human		No tag		S100P (Amine-Labeled Biotinylated)
SAE1	https://www.sinobiological.com/search?keywords=13921-HNCB-B	13921-HNCB-B	Human		No tag		SAE1 (Biotinylated)
SCF	https://www.sinobiological.com/search?keywords=50487-M08B-B	50487-M08B-B	Mouse		C-His		SCF (Amine-Labeled Biotinylated)
SECTM1	https://www.sinobiological.com/search?keywords=12269-H08H-B	12269-H08H-B	Human		C-His		SECTM1 (Biotinylated)
SEZ6	https://www.sinobiological.com/search?keywords=13436-H49H-B	13436-H49H-B	Human		C-His-AVI		SEZ6 (Avi-tag Biotinylated, HPLC-verified)
SIGIRR	https://www.sinobiological.com/search?keywords=12165-H08H-B	12165-H08H-B	Human		C-His		SIGIRR (Amine-Labeled Biotinylated)
SIRP alpha/SHPS-1	https://www.sinobiological.com/search?keywords=11612-H41H-B	11612-H41H-B	Human		C-hFc & AVI		SIRP alpha/SHPS-1 (Biotinylated, HPLC-verified)
SKP1	https://www.sinobiological.com/search?keywords=14161-H40E-B	14161-H40E-B	Human		N-His & C-AVI		SKP1 (Biotinylated, HPLC-verified)
SLAMF7/CRACC/CS1	https://www.sinobiological.com/search?keywords=11691-H08H-B	11691-H08H-B	Human		C-His		SLAMF7/CRACC/CS1 (Amine-Labeled Biotinylated)
SOST/Sclerostin	https://www.sinobiological.com/search?keywords=10593-H07H-B	10593-H07H-B	Human		N-His		SOST/Sclerostin (Amine-Labeled Biotinylated)
STC2	https://www.sinobiological.com/search?keywords=13653-H08H-B	13653-H08H-B	Human		C-His		STC2 (Biotinylated)
Siglec-11	https://www.sinobiological.com/search?keywords=30155-H41H-B	30155-H41H-B	Human		C-hFc & AVI		Siglec-11 (Avi-tag Biotinylated, HPLC-verified)
Siglec-2/CD22	https://www.sinobiological.com/search?keywords=11958-H08H-B	11958-H08H-B	Human		C-His		Siglec-2/CD22 (Amine-Labeled Biotinylated)
Siglec-3/CD33	https://www.sinobiological.com/search?keywords=12238-H08H-B	12238-H08H-B	Human		C-His		Siglec-3/CD33 (Amine-Labeled Biotinylated, HPLC-verified)
Siglec-6	https://www.sinobiological.com/search?keywords=12241-H49H-B	12241-H49H-B	Human		C-His-AVI		Siglec-6 (Avi-tag Biotinylated, HPLC-verified)
Sorcin/SRI	https://www.sinobiological.com/search?keywords=14547-HNCB-B	14547-HNCB-B	Human		No tag		Sorcin/SRI (Biotinylated)
Syndecan-1/CD138	https://www.sinobiological.com/search?keywords=11429-H49H-B	11429-H49H-B	Human		C-His-AVI		Syndecan-1/CD138 (Biotinylated)
TCCR/IL-27R alpha	https://www.sinobiological.com/search?keywords=5A7678-M49H-B	5A7678-M49H-B	Mouse		C-His-AVI		TCCR/IL-27R alpha (Biotinylated, HPLC-verified)
TFPI	https://www.sinobiological.com/search?keywords=10564-H08H-B	10564-H08H-B	Human		C-His		TFPI (Amine-Labeled Biotinylated)
TGF beta 1	https://www.sinobiological.com/search?keywords=10804-H08H-B	10804-H08H-B	Human		C-His		TGF beta 1 (Latent,Amine-Labeled Biotinylated)
TGF beta 2	https://www.sinobiological.com/search?keywords=50153-M08H-B	50153-M08H-B	Mouse		C-His		TGF beta 2 (Amine-Labeled Biotinylated)
TGF-beta RII/TGFBR2	https://www.sinobiological.com/search?keywords=10358-H03H-B	10358-H03H-B	Human		C-hFc & His		TGF-beta RII/TGFBR2 (Amine-Labeled Biotinylated)
TIE-2	https://www.sinobiological.com/search?keywords=51087-M08H-B	51087-M08H-B	Mouse		C-His		TIE-2 (Amine-Labeled Biotinylated, HPLC-verified)
TIGIT	https://www.sinobiological.com/search?keywords=10917-H02H-B	10917-H02H-B	Human		C-hFc		TIGIT (Amine-Labeled Biotinylated)
TIM-1/HAVCR1	https://www.sinobiological.com/search?keywords=11051-H49H-B	11051-H49H-B	Human		C-His-AVI		TIM-1/HAVCR1 (Avi-tag Biotinylated, HPLC-verified)
TIM-3/HAVCR2	https://www.sinobiological.com/search?keywords=10390-H08H-B	10390-H08H-B	Human		C-His		TIM-3/HAVCR2 (Amine-Labeled Biotinylated)
TL1A/TNFSF15	https://www.sinobiological.com/search?keywords=80150-R07H-B	80150-R07H-B	Rat		N-His		TL1A/TNFSF15 (Biotinylated, HPLC-verified)
TNF-alpha	https://www.sinobiological.com/search?keywords=50349-MNAE-B	50349-MNAE-B	Mouse		No tag		TNF-alpha (Amine-Labeled Biotinylated)
TNFR-2 / CD120b	https://www.sinobiological.com/search?keywords=10417-H27H-B	10417-H27H-B	Human		C-AVI & His		TNFR-2 / CD120b (Biotinylated, HPLC-verified)
TNFR1/CD120a	https://www.sinobiological.com/search?keywords=10872-H27H-B	10872-H27H-B	Human		C-AVI & His		TNFR1/CD120a (Biotinylated, HPLC-verified)
TOP1	https://www.sinobiological.com/search?keywords=17455-H07B-B	17455-H07B-B	Human		N-His		TOP1 (Biotinylated)
TREM-2	https://www.sinobiological.com/search?keywords=11084-H49H-B	11084-H49H-B	Human		C-His-AVI		TREM-2 (Biotinylated, HPLC-verified)
TRIM21	https://www.sinobiological.com/search?keywords=59826-M56B-B	59826-M56B-B	Mouse		N-His & AVI		TRIM21 (Avi-tag Biotinylated)
TROP-2	https://www.sinobiological.com/search?keywords=10428-H41H-B	10428-H41H-B	Human		C-hFc & AVI		TROP-2 (Biotinylated, HPLC-verified)
TSLP	https://www.sinobiological.com/search?keywords=16135-H49H-B	16135-H49H-B	Human		C-His-AVI		TSLP (Avi-tag Biotinylated, HPLC-verified)
TSPAN8	https://www.sinobiological.com/search?keywords=91064-C44H-B	91064-C44H-B	Cynomolgus		N-AVI-His		TSPAN8 (Avi-tag Biotinylated)
Tau	https://www.sinobiological.com/search?keywords=T08-54BN	T08-54BN	Human		No tag		Tau (Tau-441,Biotinylated)
Tim4/TIMD4	https://www.sinobiological.com/search?keywords=12161-H08H-B	12161-H08H-B	Human		C-His		Tim4/TIMD4 (Amine-Labeled Biotinylated)
Tissue Factor	https://www.sinobiological.com/search?keywords=13133-H41H-B	13133-H41H-B	Human		C-hFc & AVI		Tissue Factor (Biotinylated, HPLC-verified)
Transferrin Receptor/TFR1/CD71	https://www.sinobiological.com/search?keywords=11020-H07H-B	11020-H07H-B	Human		N-His		Transferrin Receptor/TFR1/CD71 (Amine-Labeled Biotinylated)
TrkA	https://www.sinobiological.com/search?keywords=11073-H41H-B	11073-H41H-B	Human		C-hFc & AVI		TrkA (Biotinylated, HPLC-verified)
TrkB	https://www.sinobiological.com/search?keywords=10047-H08H-B	10047-H08H-B	Human		C-His		TrkB (Amine-Labeled Biotinylated)
UBC9/UBE2I	https://www.sinobiological.com/search?keywords=13205-HNCE-B	13205-HNCE-B	Human		No tag		UBC9/UBE2I (Biotinylated)
UBE2B	https://www.sinobiological.com/search?keywords=51243-MNCE-B	51243-MNCE-B	Mouse		No tag		UBE2B (Biotinylated)
ULBP1/NKG2DL1	https://www.sinobiological.com/search?keywords=10679-H27H-B	10679-H27H-B	Human		C-AVI & His		ULBP1/NKG2DL1 (Biotinylated, HPLC-verified)
ULBP2/NKG2DL2	https://www.sinobiological.com/search?keywords=12143-H27H-B	12143-H27H-B	Human		C-AVI & His		ULBP2/NKG2DL2 (Biotinylated, HPLC-verified)
VCAM-1/CD106	https://www.sinobiological.com/search?keywords=10113-H02H-B	10113-H02H-B	Human		C-hFc		VCAM-1/CD106 (Amine-Labeled Biotinylated, HPLC-verified)
VEGF-A	https://www.sinobiological.com/search?keywords=11066-H27H-B	11066-H27H-B	Human,Cynomolgus		C-AVI & His		VEGF-A (VEGF165,Biotinylated)
VEGFR1/FLT1	https://www.sinobiological.com/search?keywords=51045-M49H-B	51045-M49H-B	Mouse		C-His-AVI		VEGFR1/FLT1 (Biotinylated)
VEGFR2/KDR	https://www.sinobiological.com/search?keywords=10012-H02H1-B	10012-H02H1-B	Human		C-hFc		VEGFR2/KDR (Amine-Labeled Biotinylated)
VEGFR3/FLT4	https://www.sinobiological.com/search?keywords=10806-H27H-B	10806-H27H-B	Human		C-AVI & His		VEGFR3/FLT4 (Biotinylated, HPLC-verified)
VISTA/B7-H5	https://www.sinobiological.com/search?keywords=13482-H49H-B	13482-H49H-B	Human		C-His-AVI		VISTA/B7-H5 (Biotinylated, HPLC-verified)
VSIG2	https://www.sinobiological.com/search?keywords=11543-H08H-B	11543-H08H-B	Human		C-His		VSIG2 (Amine-Labeled Biotinylated)
VSIG4	https://www.sinobiological.com/search?keywords=12163-H02H-B	12163-H02H-B	Human		C-hFc		VSIG4 (Amine-Labeled Biotinylated)
Von Willebrand Factor/vWF	https://www.sinobiological.com/search?keywords=10973-H49E-B	10973-H49E-B	Human		C-His-AVI		Von Willebrand Factor/vWF (Avi-tag Biotinylated)
ZIKV Envelope	https://www.sinobiological.com/search?keywords=40543-V08H-B	40543-V08H-B	"ZIKV
strain Zika SPH2015"		C-His		ZIKV Envelope (Amine-Labeled Biotinylated)
alpha-Synuclein	https://www.sinobiological.com/search?keywords=12093-H49E-B	12093-H49E-B	Human		C-His-AVI		alpha-Synuclein (Biotinylated)
c-Kit	https://www.sinobiological.com/search?keywords=11996-H49H-B	11996-H49H-B	Human		C-His-AVI		c-Kit (Biotinylated, HPLC-verified)
c-MET/HGFR	https://www.sinobiological.com/search?keywords=10692-H27H-B	10692-H27H-B	Human		C-AVI & His		c-MET/HGFR (Biotinylated, HPLC-verified)
carbonic anhydrase XII/CA12	https://www.sinobiological.com/search?keywords=10617-H49H-B	10617-H49H-B	Human		C-His-AVI		carbonic anhydrase XII/CA12 (Biotinylated, HPLC-verified)
gE/glycoprotein E	https://www.sinobiological.com/search?keywords=40907-V08H-B	40907-V08H-B	"VZV
strain Oka vaccine"		C-His		gE/glycoprotein E (Biotinylated)
